user_id,name,department,role,date,login_hour_deviation,data_transfer_zscore,is_weekend_access,files_outside_role_pct,usb_freq_7day,distinct_locations_7day,is_anomaly
EMP001,Allison Hill,Finance,Finance Manager,2026-04-01,0.0,-0.3655783854209249,0,0.0,0.0,1,0.0
EMP001,Allison Hill,Finance,Finance Manager,2026-04-02,0.0,-0.3542244899969098,0,0.0,0.0,1,0.0
EMP001,Allison Hill,Finance,Finance Manager,2026-04-03,0.0,-0.35368912891482507,0,0.0,0.0,1,0.0
EMP001,Allison Hill,Finance,Finance Manager,2026-04-06,0.0,-0.35749496314192253,0,0.0,0.0,1,0.0
EMP001,Allison Hill,Finance,Finance Manager,2026-04-07,0.0,-0.3615499257933565,0,0.0,0.0,1,0.0
EMP001,Allison Hill,Finance,Finance Manager,2026-04-08,0.0,0.6837717403033642,0,0.0,0.0,2,1.0
EMP001,Allison Hill,Finance,Finance Manager,2026-04-09,0.0,-0.3599597443614216,0,0.0,0.0,2,0.0
EMP001,Allison Hill,Finance,Finance Manager,2026-04-10,0.0,0.4691343512255655,0,0.0,0.0,3,1.0
EMP001,Allison Hill,Finance,Finance Manager,2026-04-13,0.0,-0.3575267667705613,0,0.0,0.0,3,0.0
EMP001,Allison Hill,Finance,Finance Manager,2026-04-14,0.0,-0.34176276817531337,0,0.0,0.0,3,0.0
EMP001,Allison Hill,Finance,Finance Manager,2026-04-15,4.545454545454546,1.061529940669044,0,0.0,0.0,3,1.0
EMP001,Allison Hill,Finance,Finance Manager,2026-04-16,0.41666666666666696,-0.37217763836345474,0,0.0,0.0,3,0.0
EMP001,Allison Hill,Finance,Finance Manager,2026-04-17,0.384615384615385,-0.33934039179399916,0,0.0,0.0,2,0.0
EMP001,Allison Hill,Finance,Finance Manager,2026-04-20,0.35714285714285676,0.3316684670395672,0,0.0,0.0,3,1.0
EMP001,Allison Hill,Finance,Finance Manager,2026-04-21,0.33333333333333304,-0.3611099755971879,0,0.0,0.0,2,0.0
